TIME,BUY
2017-02-10T15:11:21.780,132.22
2017-02-10T15:11:26.804,132.22
2017-02-10T15:11:31.837,132.23
2017-02-10T15:11:36.858,132.23
2017-02-10T15:11:41.878,132.23
2017-02-10T15:11:46.900,132.22
2017-02-10T15:11:51.921,132.22
2017-02-10T15:11:56.943,132.22
2017-02-10T15:12:01.964,132.21
2017-02-10T15:12:06.990,132.23
2017-02-10T15:12:12.009,132.22
2017-02-10T15:12:17.031,132.22
2017-02-10T15:12:22.052,132.22
2017-02-10T15:12:27.074,132.23
2017-02-10T15:12:32.094,132.23
2017-02-10T15:12:37.115,132.24
2017-02-10T15:12:42.135,132.28
2017-02-10T15:12:47.156,132.29
2017-02-10T15:12:52.188,132.32
2017-02-10T15:12:56.205,132.32
2017-02-10T15:13:02.232,132.31
2017-02-10T15:13:06.255,132.31
2017-02-10T15:13:11.279,132.36
2017-02-10T15:13:16.305,132.35
2017-02-10T15:13:21.341,132.35
2017-02-10T15:13:26.386,132.34
2017-02-10T15:13:31.409,132.36
2017-02-10T15:13:36.431,132.36
2017-02-10T15:13:41.452,132.38
2017-02-10T15:13:46.477,132.37
2017-02-10T15:13:51.498,132.38
2017-02-10T15:13:56.520,132.37
2017-02-10T15:14:01.540,132.38
2017-02-10T15:14:06.577,132.37
2017-02-10T15:14:11.603,132.41
2017-02-10T15:14:16.624,132.41
2017-02-10T15:14:21.650,132.41
2017-02-10T15:14:26.672,132.43
2017-02-10T15:14:31.702,132.45
2017-02-10T15:14:36.724,132.48
2017-02-10T15:14:41.744,132.46
2017-02-10T15:14:46.766,132.44
2017-02-10T15:14:51.802,132.44
2017-02-10T15:14:56.832,132.43
2017-02-10T15:15:01.859,132.44
2017-02-10T15:15:06.912,132.44
2017-02-10T15:15:11.934,132.44
2017-02-10T15:15:16.960,132.44
2017-02-10T15:15:21.982,132.44
2017-02-10T15:15:27.026,132.45
2017-02-10T15:15:32.065,132.46
2017-02-10T15:15:37.085,132.46
2017-02-10T15:15:42.112,132.46
2017-02-10T15:15:47.153,132.45
2017-02-10T15:15:52.175,132.45
2017-02-10T15:15:57.201,132.45
2017-02-10T15:16:02.229,132.44
2017-02-10T15:16:06.248,132.44
2017-02-10T15:16:11.269,132.44
2017-02-10T15:16:16.304,132.44
2017-02-10T15:16:21.328,132.45
2017-02-10T15:16:26.350,132.46
2017-02-10T15:16:31.377,132.46
2017-02-10T15:16:36.398,132.46
